Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011343 | lrm: 0.00 | dt: 9803ms | tok/sec: 26,740 | mfu: 1.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011376 | lrm: 0.00 | dt: 250ms | tok/sec: 1,050,425 | mfu: 45.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011384 | lrm: 0.00 | dt: 248ms | tok/sec: 1,057,764 | mfu: 45.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011366 | lrm: 0.00 | dt: 248ms | tok/sec: 1,055,596 | mfu: 45.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011341 | lrm: 0.00 | dt: 248ms | tok/sec: 1,055,518 | mfu: 45.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011339 | lrm: 0.00 | dt: 250ms | tok/sec: 1,049,595 | mfu: 45.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011352 | lrm: 0.00 | dt: 249ms | tok/sec: 1,052,663 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011338 | lrm: 0.00 | dt: 249ms | tok/sec: 1,051,655 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011333 | lrm: 0.00 | dt: 249ms | tok/sec: 1,052,277 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011323 | lrm: 0.00 | dt: 249ms | tok/sec: 1,053,356 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011321 | lrm: 0.00 | dt: 261ms | tok/sec: 1,004,864 | mfu: 43.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011338 | lrm: 0.00 | dt: 250ms | tok/sec: 1,050,247 | mfu: 45.5% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 9.011327 | lrm: 0.02 | dt: 250ms | tok/sec: 1,047,220 | mfu: 45.4% | epoch: 1 | remaining: 300s    
step 00013 (0.2%) | loss: 9.010420 | lrm: 0.03 | dt: 262ms | tok/sec: 999,757 | mfu: 43.3% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 9.007878 | lrm: 0.05 | dt: 274ms | tok/sec: 957,021 | mfu: 41.5% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 9.002916 | lrm: 0.07 | dt: 275ms | tok/sec: 954,168 | mfu: 41.3% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 8.994636 | lrm: 0.09 | dt: 269ms | tok/sec: 975,437 | mfu: 42.3% | epoch: 1 | remaining: 298s    
step 00017 (0.5%) | loss: 8.981349 | lrm: 0.11 | dt: 267ms | tok/sec: 981,678 | mfu: 42.5% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 8.960005 | lrm: 0.12 | dt: 274ms | tok/sec: 955,583 | mfu: 41.4% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 8.924553 | lrm: 0.14 | dt: 274ms | tok/sec: 958,311 | mfu: 41.5% | epoch: 1 | remaining: 298s    
step 00020 (0.8%) | loss: 8.866439 | lrm: 0.16 | dt: 267ms | tok/sec: 982,099 | mfu: 42.5% | epoch: 1 | remaining: 297s    
step 00021 (0.9%) | loss: 8.776319 | lrm: 0.18 | dt: 269ms | tok/sec: 972,848 | mfu: 42.1% | epoch: 1 | remaining: 297s    
step 00022 (1.0%) | loss: 8.666397 | lrm: 0.20 | dt: 273ms | tok/sec: 960,088 | mfu: 41.6% | epoch: 1 | remaining: 297s    
step 00023 (1.1%) | loss: 8.544333 | lrm: 0.21 | dt: 271ms | tok/sec: 968,253 | mfu: 41.9% | epoch: 1 | remaining: 297s    
step 00024 (1.2%) | loss: 8.401696 | lrm: 0.23 | dt: 266ms | tok/sec: 984,413 | mfu: 42.6% | epoch: 1 | remaining: 296s    
step 00025 (1.2%) | loss: 8.246853 | lrm: 0.25 | dt: 270ms | tok/sec: 972,501 | mfu: 42.1% | epoch: 1 | remaining: 296s    
step 00026 (1.3%) | loss: 8.085992 | lrm: 0.27 | dt: 272ms | tok/sec: 963,066 | mfu: 41.7% | epoch: 1 | remaining: 296s    
step 00027 (1.4%) | loss: 7.924227 | lrm: 0.29 | dt: 269ms | tok/sec: 973,209 | mfu: 42.2% | epoch: 1 | remaining: 295s    
step 00028 (1.5%) | loss: 7.767570 | lrm: 0.30 | dt: 269ms | tok/sec: 976,179 | mfu: 42.3% | epoch: 1 | remaining: 295s    
step 00029 (1.6%) | loss: 7.615094 | lrm: 0.32 | dt: 272ms | tok/sec: 962,960 | mfu: 41.7% | epoch: 1 | remaining: 295s    
step 00030 (1.7%) | loss: 7.464465 | lrm: 0.34 | dt: 273ms | tok/sec: 960,133 | mfu: 41.6% | epoch: 1 | remaining: 295s    
